startId,count,endId
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_D011014
MESH_C000657245,1,-0.002282228
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_D000069337
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_D045169
MESH_C000657245,1,MESH_D010996
MESH_C000657245,1,MESH_D011658
MESH_C000657245,1,MESH_D013896
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_D012131
MESH_C000657245,1,MESH_D012131
MESH_C000657245,1,MESH_D045169
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_D005334
MESH_C000657245,1,MESH_D045169
MESH_C000657245,1,MESH_D045169
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_C000657245
MESH_C000657245,1,MESH_D006470
MESH_C000657245,1,MESH_D012466
MESH_C000657245,1,MESH_D013921
